"Vendor","Rohde&Schwarz",
"Device/Mat.-No.","RTB2004 / 1333.1005k04",
"Serial No.","110244",
"Firmware Version","02.300",
"Date","2023-01-26",
"Time","13:05:42",
"Comment","",

"Meas. Place",,"1",,
"Type",,"Rise Time",,
"Source 1",,"C1",,
"Source 2",,,,
"Unit",,s,,
"Upper Level [%]",,9.000000e+01,,
"Middle Level [%]",,5.000000e+01,,
"Lower Level [%]",,1.000000e+01,,
"Wave count",,1440,,
"Current",,9.597200e-06,,
"Average No.",,1.000000e+03,,
"Min",,9.354800e-06,,
"Max",,9.930000e-06,,
"Mean",,9.652759e-06,,
"StdDev",,1.048832e-07,,
"Time of first value",,,,
"Time of last value",,,,
"Long term Min",,9.324000e-06,,
"Long term Max",,9.930000e-06,,
"Long term Mean",,9.652254e-06,,
"Long term StdDev",,1.049460e-07,,
"Long term start time",,,,
"Long term end Time",,,,


"Index","Time Offset","Value",
606,,9.707200e-06,
607,,9.560800e-06,
608,,9.674400e-06,
609,,9.696400e-06,
610,,9.681600e-06,
611,,9.499200e-06,
612,,9.547200e-06,
613,,9.488800e-06,
614,,9.515200e-06,
615,,9.757200e-06,
616,,9.613200e-06,
617,,9.785200e-06,
618,,9.435200e-06,
619,,9.585200e-06,
620,,9.533200e-06,
621,,9.854800e-06,
622,,9.708400e-06,
623,,9.583600e-06,
624,,9.564400e-06,
625,,9.564000e-06,
626,,9.601200e-06,
627,,9.522800e-06,
628,,9.836800e-06,
629,,9.638000e-06,
630,,9.538800e-06,
631,,9.795200e-06,
632,,9.644800e-06,
633,,9.650400e-06,
634,,9.688400e-06,
635,,9.737200e-06,
636,,9.621200e-06,
637,,9.674400e-06,
638,,9.677200e-06,
639,,9.472800e-06,
640,,9.660000e-06,
641,,9.729600e-06,
642,,9.646000e-06,
643,,9.622800e-06,
644,,9.598000e-06,
645,,9.815200e-06,
646,,9.502000e-06,
647,,9.629600e-06,
648,,9.779200e-06,
649,,9.652800e-06,
650,,9.634000e-06,
651,,9.501200e-06,
652,,9.602400e-06,
653,,9.780000e-06,
654,,9.786000e-06,
655,,9.544400e-06,
656,,9.582000e-06,
657,,9.848400e-06,
658,,9.699200e-06,
659,,9.704400e-06,
660,,9.508800e-06,
661,,9.810800e-06,
662,,9.790800e-06,
663,,9.693600e-06,
664,,9.790000e-06,
665,,9.542000e-06,
666,,9.584800e-06,
667,,9.568400e-06,
668,,9.642000e-06,
669,,9.565600e-06,
670,,9.648800e-06,
671,,9.585600e-06,
672,,9.839200e-06,
673,,9.525200e-06,
674,,9.554000e-06,
675,,9.683600e-06,
676,,9.748400e-06,
677,,9.646400e-06,
678,,9.479600e-06,
679,,9.714400e-06,
680,,9.544800e-06,
681,,9.654000e-06,
682,,9.641200e-06,
683,,9.544800e-06,
684,,9.495600e-06,
685,,9.618400e-06,
686,,9.522800e-06,
687,,9.632800e-06,
688,,9.563200e-06,
689,,9.630000e-06,
690,,9.740800e-06,
691,,9.628400e-06,
692,,9.514400e-06,
693,,9.576000e-06,
694,,9.751600e-06,
695,,9.764400e-06,
696,,9.538400e-06,
697,,9.477200e-06,
698,,9.632400e-06,
699,,9.634800e-06,
700,,9.688800e-06,
701,,9.544800e-06,
702,,9.498000e-06,
703,,9.528800e-06,
704,,9.726400e-06,
705,,9.680400e-06,
706,,9.664800e-06,
707,,9.679200e-06,
708,,9.708000e-06,
709,,9.601600e-06,
710,,9.465600e-06,
711,,9.578400e-06,
712,,9.440400e-06,
713,,9.669600e-06,
714,,9.514800e-06,
715,,9.495200e-06,
716,,9.640400e-06,
717,,9.799600e-06,
718,,9.675200e-06,
719,,9.765200e-06,
720,,9.756800e-06,
721,,9.777600e-06,
722,,9.789200e-06,
723,,9.536800e-06,
724,,9.817200e-06,
725,,9.414400e-06,
726,,9.743600e-06,
727,,9.647600e-06,
728,,9.706400e-06,
729,,9.822800e-06,
730,,9.694000e-06,
731,,9.704800e-06,
732,,9.531200e-06,
733,,9.821200e-06,
734,,9.729200e-06,
735,,9.598000e-06,
736,,9.625200e-06,
737,,9.581600e-06,
738,,9.816000e-06,
739,,9.590400e-06,
740,,9.604000e-06,
741,,9.764000e-06,
742,,9.778800e-06,
743,,9.665200e-06,
744,,9.637600e-06,
745,,9.850800e-06,
746,,9.690000e-06,
747,,9.665200e-06,
