in s,C1 in V
-5.63662E-04,-6.34766E-03
-5.63658E-04,1.31836E-02
-5.63654E-04,1.31836E-02
-5.63650E-04,-1.46484E-03
-5.63646E-04,3.41797E-03
-5.63642E-04,2.29492E-02
-5.63638E-04,-1.46484E-03
-5.63634E-04,3.41797E-03
-5.63630E-04,3.41797E-03
-5.63626E-04,-1.46484E-03
-5.63622E-04,3.41797E-03
-5.63618E-04,-6.34766E-03
-5.63614E-04,-1.46484E-03
-5.63610E-04,-1.46484E-03
-5.63606E-04,3.41797E-03
-5.63602E-04,8.30078E-03
-5.63598E-04,3.41797E-03
-5.63594E-04,-1.46484E-03
-5.63590E-04,1.31836E-02
-5.63586E-04,8.30078E-03
-5.63582E-04,-1.46484E-03
-5.63578E-04,-1.46484E-03
-5.63574E-04,-6.34766E-03
-5.63570E-04,1.31836E-02
-5.63566E-04,-1.46484E-03
-5.63562E-04,3.41797E-03
-5.63558E-04,-6.34766E-03
-5.63554E-04,8.30078E-03
-5.63550E-04,1.31836E-02
-5.63546E-04,-6.34766E-03
-5.63542E-04,-6.34766E-03
-5.63538E-04,3.41797E-03
-5.63534E-04,8.30078E-03
-5.63530E-04,-1.61133E-02
-5.63526E-04,1.31836E-02
-5.63522E-04,3.41797E-03
-5.63518E-04,-1.46484E-03
-5.63514E-04,8.30078E-03
-5.63510E-04,8.30078E-03
-5.63506E-04,3.41797E-03
-5.63502E-04,-6.34766E-03
-5.63498E-04,3.41797E-03
-5.63494E-04,2.29492E-02
-5.63490E-04,8.30078E-03
-5.63486E-04,-1.46484E-03
-5.63482E-04,8.30078E-03
-5.63478E-04,3.41797E-03
-5.63474E-04,1.80664E-02
-5.63470E-04,3.41797E-03
-5.63466E-04,-6.34766E-03
-5.63462E-04,3.41797E-03
-5.63458E-04,-1.12305E-02
-5.63454E-04,1.80664E-02
-5.63450E-04,8.30078E-03
-5.63446E-04,8.30078E-03
-5.63442E-04,8.30078E-03
-5.63438E-04,3.41797E-03
-5.63434E-04,1.31836E-02
-5.63430E-04,3.41797E-03
-5.63426E-04,8.30078E-03
-5.63422E-04,8.30078E-03
-5.63418E-04,1.31836E-02
-5.63414E-04,-1.46484E-03
-5.63410E-04,8.30078E-03
-5.63406E-04,-1.12305E-02
-5.63402E-04,-1.46484E-03
-5.63398E-04,1.31836E-02
-5.63394E-04,1.80664E-02
-5.63390E-04,-1.46484E-03
-5.63386E-04,8.30078E-03
-5.63382E-04,3.41797E-03
-5.63378E-04,-1.61133E-02
-5.63374E-04,-1.46484E-03
-5.63370E-04,3.41797E-03
-5.63366E-04,-1.46484E-03
-5.63362E-04,3.41797E-03
-5.63358E-04,-6.34766E-03
-5.63354E-04,1.31836E-02
-5.63350E-04,2.29492E-02
-5.63346E-04,3.41797E-03
-5.63342E-04,8.30078E-03
-5.63338E-04,8.30078E-03
-5.63334E-04,8.30078E-03
-5.63330E-04,-1.46484E-03
-5.63326E-04,1.31836E-02
-5.63322E-04,-1.46484E-03
-5.63318E-04,3.41797E-03
-5.63314E-04,-6.34766E-03
-5.63310E-04,3.41797E-03
-5.63306E-04,8.30078E-03
-5.63302E-04,1.80664E-02
-5.63298E-04,8.30078E-03
-5.63294E-04,-1.46484E-03
-5.63290E-04,-6.34766E-03
-5.63286E-04,3.41797E-03
-5.63282E-04,3.41797E-03
-5.63278E-04,-1.46484E-03
-5.63274E-04,-1.46484E-03
-5.63270E-04,-6.34766E-03
-5.63266E-04,-1.46484E-03
-5.63262E-04,8.30078E-03
-5.63258E-04,-6.34766E-03
-5.63254E-04,1.31836E-02
-5.63250E-04,-1.12305E-02
-5.63246E-04,3.41797E-03
-5.63242E-04,8.30078E-03
-5.63238E-04,8.30078E-03
-5.63234E-04,-1.46484E-03
-5.63230E-04,8.30078E-03
